playlistId,videoId,title,description,position
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,H9eCT6f_Ftw,Calculus 2 Lecture 6.1:  The Natural Log Function,Calculus 2 Lecture 6.1:  The Natural Log Function,0
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,HnsUNWNYZ28,Calculus 2 Lecture 6.2:  Derivatives of Inverse Functions,Calculus 2 Lecture 6.2:  Derivatives of Inverse Functions,1
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,5HlW7OnXUT4,Calculus 2 Lecture 6.3:  Derivatives and Integrals of Exponential Functions,Calculus 2 Lecture 6.3:  Derivatives and Integrals of Exponential Functions,2
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,rR8imSHCuFk,Calculus 2 Lecture 6.4:  Derivatives and Integrals of General Exponential Functions,Calculus 2 Lecture 6.4:  Derivatives and Integrals of General Exponential Functions,3
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,ST3ORfqVYQw,Calculus 2 Lecture 6.5:  Calculus of Inverse Trigonometric Functions,Calculus 2 Lecture 6.5:  Calculus of Inverse Trigonometric Functions,4
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,3kPg0gkJQgc,Calculus 2 Lecture 6.6:  A Discussion of Hyperbolic Functions,Calculus 2 Lecture 6.6:  A Discussion of Hyperbolic Functions,5
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,Zd7wd24jeok,Calculus 2 Lecture 6.7:  Evaluating Limits of Indeterminate Forms,Calculus 2 Lecture 6.7:  Evaluating Limits of Indeterminate Forms,6
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,EOwjiFpDY_s,Calculus 2 Lecture 7.1:  Integration By Parts,Calculus 2 Lecture 7.1:  Integration By Parts,7
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,pLrUBjiEo-w,Calculus 2 Lecture 7.2:  Techniques For Trigonometric Integrals,Calculus 2 Lecture 7.2:  Techniques For Trigonometric Integrals,8
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,q6JwTGpG8b4,Calculus 2 Lecture 7.3:  Integrals By Trigonometric Substitution,Calculus 2 Lecture 7.3:  Integrals By Trigonometric Substitution,9
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,KJGp0pyPoVo,Calculus 2 Lecture 7.4:  Integration By Partial Fractions,Calculus 2 Lecture 7.4:  Integration By Partial Fractions,10
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,g-M8FHslgdk,Calculus 2 Lecture 7.6:  Improper Integrals,Calculus 2 Lecture 7.6:  Improper Integrals,11
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,WxVaVzxsDb0,Calculus 2 Lecture 8.1: Solving First Order Differential Equations By Separation of Variables,Calculus 2 Lecture 8.1: Solving First Order Differential Equations By Separation of Variables,12
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,FoNLQvf4NUs,Calculus 2 Lecture 9.1:  Convergence and Divergence of Sequences,Calculus 2 Lecture 9.1:  Convergence and Divergence of Sequences,13
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,DGcWMdW-72M,"Calculus 2 Lecture 9.2:  Series, Geometric Series, Harmonic Series, and Divergence Test","Calculus 2 Lecture 9.2:  Introduction to Series, Geometric Series, Harmonic Series, and the Divergence Test",14
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,8jPpNK4GIVs,"Calculus 2 Lecture 9.3:  Using the Integral Test for Convergence/Divergence of Series, P-Series","Calculus 2 Lecture 9.3:  Using the Integral Test for Convergence/Divergence of Series, P-Series",15
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,ei8WKMAHky0,Calculus 2 Lecture 9.4:  The Comparison Test for Series and The Limit Comparison Test,Calculus 2 Lecture 9.4:  The Comparison Test for Series and The Limit Comparison Test,16
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,BhYPrQHDrjk,"Calculus 2 Lecture 9.5:  Showing Convergence With the Alternating Series Test, Finding Error of Sums","Calculus 2 Lecture 9.5:  Showing Convergence With the Alternating Series Test, Finding Error of Sums",17
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,g4iZJOwMkjU,"Calculus 2 Lecture 9.6:  Absolute Convergence, Ratio Test and Root Test For Series","Calculus 2 Lecture 9.6:  Absolute Convergence, Ratio Test and Root Test For Series",18
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,TGD-TP1c7i4,"Calculus 2 Lecture 9.7:  Power Series, Calculus of Power Series, Ratio Test for Int. of Convergence","Calculus 2 Lecture 9.7:  Power Series, Calculus of Power Series, Using Ratio Test to Find Interval of Convergence",19
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,3VHol7eosLA,Calculus 2 Lecture 9.8:  Representation of Functions by Taylor Series and Maclauren Series,Calculus 2 Lecture 9.8:  Representation of Functions by Taylor Series and Maclauren Series,20
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,RbreIk02B3c,Calculus 2 Lecture 9.9: Approximation of Functions by Taylor Polynomials,Calculus 2 Lecture 9.9: Approximation of Functions by Taylor Polynomials,21
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,d4KADBFqpR0,Calculus 2 Lecture 10.2:  Introduction to Parametric Equations,Calculus 2 Lecture 10.2:  Introduction to Parametric Equations,22
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,1H6HrfX_qCA,Calculus 2 Lecture 10.3:  Calculus of Parametric Equations,Calculus 2 Lecture 10.3:  Calculus of Parametric Equations,23
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,sWUyFQQ5QeI,Calculus 2 Lecture 10.4:  Using Polar Coordinates and Polar Equations,Calculus 2 Lecture 10.4:  Using Polar Coordinates and Polar Equations,24
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,Kh265EC11OI,Calculus 2 Lecture 10.5:  Calculus of Polar Equations,"Calculus 2 Lecture 10.5:  Calculus of Polar Equations.  Area Bound by Polar Curve, Area Between Two Polar Curves.",25
PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,RTX-ik_8i-k,Numerical Integration With Trapezoidal and Simpson's Rule,Calculus 2 Lecture 4.6:  Numerical Integration With the Trapezoidal Rule and Simpson's Rule.,26
